Date,Canton,Longitude,Latitude,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
09.02.14,VS,7.031563892355134,46.04719662358726,Martigny-Combe,2330,NNE,1,-3,6,2,1
17.02.14,VS,7.314119239478583,46.1124233724557,Nendaz,2210,NE,2,3,1,1,1
18.02.14,VS,7.591226311002312,46.13691070530684,Anniviers,2785,NNE,2,3,1,1,1
17.03.14,VS,7.7130164156932794,46.05929183662101,Täsch,3570,NE,2,1↗︎3,3,2,2
19.07.14,VS,7.585078194539532,46.07362647963965,Anniviers,3460,N,1,-,6,4,2
19.07.14,VS,7.695315983334676,46.05703966959026,Zermatt,3760,S,1,-,2,1,2
04.08.14,VS,7.632350123124307,46.02396321389662,Zermatt,3690,S,1,-,1,,1
20.11.14,NW,8.545192846859946,46.93139929055869,Emmetten,1850,NW,1,-2,1,,1
08.12.14,VS,7.992448047024595,46.1979692288781,Simplon,3170,SE,1,2,4,,1
20.12.14,SG,9.386896673377391,46.959117413933846,Mels,2820,E,1,3,1,1,1
04.01.15,VS,7.616576130863198,46.24016078012691,Anniviers,2513,NW,2,3,1,1,1
04.01.15,GR,10.240732695986157,46.90996102943067,Valsot,2730,ESE,1,-3,2,2,1
06.01.15,GR,9.70667290527986,46.51016559496075,Bivio,3050,S,1,3,1,1,1
18.01.15,GR,9.789243302773873,46.50556215045273,St. Moritz,2950,SE,2,3,3,2,1
29.01.15,SG,9.19437594097713,47.16874317654379,Amden,1550,SE,1,-3,1,1,1
29.01.15,VS,7.2585403952837355,46.108597238444375,Riddes,2380,N,2,3,5,1,1
30.01.15,BE,7.500228737052298,46.455162198292626,Adelboden,1875,E,2,3,1,1,1
31.01.15,BE,7.51108625503647,46.447068724963934,Adelboden,1980,NW,2,3,1,1,1
31.01.15,BE,7.848782951636216,46.5564678549871,Lauterbrunnen,2380,E,2,3,1,1,1
31.01.15,GR,9.60505148777358,47.01284509452945,Seewis im Prättigau,2340,E,1,3,8,7,5
31.01.15,SG,9.30339729568788,47.15378359686156,Wildhaus-Alt St. Johann,2250,W,2,3,1,,1
02.02.15,GR,8.796129504222888,46.699229850829944,Disentis/Mustér,1970,NE,2,3,1,1,1
08.02.15,VS,7.915788795178311,46.223956659919104,Staldenried,2320,N,1,3,1,1,1
10.02.15,GR,10.277307138093445,46.62341064071985,Val Müstair,2590,SW,1,3,1,1,1
21.02.15,VS,7.175698600773633,45.86755556600804,Bourg-Saint-Pierre,2500,N,1,2,5,4,4
03.03.15,GR,10.37777757280845,46.97079366957652,Samnaun,2550,N,2,-3,1,1,1
27.03.15,VS,7.4711947420785965,45.98567873074256,Evolène,3180,SE,1,-2,6,2,1
28.03.15,VS,7.244109889000204,45.89349318654926,Bourg-Saint-Pierre,3500,W,1,2,1,,1
28.03.15,UR,8.488826629927097,46.72901224357832,Wassen,2340,NE,1,-2,2,2,1
04.04.15,GR,9.847088933999206,46.786178384319165,Davos,2260,NE,2,3,1,1,1
12.04.15,VS,7.509841462621032,46.162961450243266,Mont-Noble,2980,N,1,2,4,4,2
06.05.15,GR,9.025766874660356,46.63265386381787,Lumnezia,2630,NE,1,-,1,1,1
24.10.15,GR,9.96749315951361,46.378231293597466,Poschiavo,3782,ESE,1,-,1,,1
09.01.16,VS,8.06093443145837,46.26211320895453,Ried-Brig,2543,NW,1,-3,3,3,2
16.01.16,VS,7.214432216915709,46.125654724624646,Saxon,2250,N,2,3,4,1,2
24.01.16,BE,7.768668410146375,46.59595852467271,Aeschi bei Spiez,2400,NW,1,2,3,1,1
30.01.16,GR,9.764923356934155,46.67358904394294,Davos,2770,NE,1,3,3,1,1
21.02.16,VS,7.932864450772722,46.05602373317588,Saas-Almagell,2860,ESE,2,2,6,1,1
27.02.16,SZ,8.726578524835912,46.94654284299214,Muotathal,1680,NNW,1,-3,1,,1
05.03.16,GR,9.302459412880175,46.61118553657216,Safiental,2660,SW,1,-3,2,2,2
26.03.16,BE,7.446308011806675,46.394170332662924,Lenk,1940,NNW,1,1↗︎2,1,,1
27.03.16,VS,8.338933920323635,46.460822222795876,Obergoms,2440,NNE,1,2,1,1,1
28.03.16,GL,9.196751052804496,46.99814619466335,Glarus Süd,2150,NNW,1,2,2,1,1
03.04.16,GR,9.63172551020184,46.76109102414385,Arosa,2280,ENE,2,1↗︎3,1,1,1
17.04.16,VS,8.185191380764037,46.512845378620156,Fieschertal,3340,NNW,1,-2,6,3,1
19.04.16,VS,7.0621882076480835,45.98998370064122,Orsières,3100,NNE,2,3,2,1,1
20.04.16,GR,9.79674654473056,46.34570746739464,Sils im Engadin/Segl,2810,NE,1,3,1,1,1
29.04.16,VS,7.963174423973077,46.467623181412506,Naters,3680,SW,1,-2,2,1,1
05.05.16,GR,9.246351677851152,46.912887613750165,Flims,2900,ESE,1,-2,1,1,1
04.07.16,VS,7.851588681930082,46.39773692117069,Baltschieder,3440,E,1,-,2,,1
06.01.17,VS,7.100039704152275,46.19857589968989,Leytron,2508,ENE,1,3,1,1,1
07.01.17,UR,8.61408497006617,46.614254634710406,Andermatt,2460,NW,2,3,5,1,1
21.01.17,SZ,8.825475969274029,47.00161715125971,Oberiberg,2130,N,1,2,1,1,1
04.02.17,VS,8.207785568816744,46.342084692787566,Binn,2300,S,1,-3,3,1,1
05.02.17,VS,8.066958609974245,46.28398489242337,Ried-Brig,2205,NNE,1,3,1,,1
22.02.17,VS,7.690221006688416,46.42384719292808,Leukerbad,3590,S,1,-2,1,1,1
02.03.17,GR,9.10316374098172,46.70879304243839,Obersaxen Mundaun,2273,N,2,3,2,1,1
21.09.17,BE,8.008533370606186,46.57166645495304,Grindelwald,3390,E,1,-,2,,1
